Nome;Regione;Città;Sponsor;Allenatore;Scudetti;Stadio;Sito Ufficiale
Atalanta;Lombardia;Bergamo;Joma;Raffaele Palladino;Uno;Gewiss Stadium;https://www.atalanta.it/
Bologna;Emilia Romagna;Bologna;Macron;Vincenzo Italiano;Sette;Stadio Renato dall'Ara;https://www.bolognafc.it/
Cagliari;Sardegna;Cagliari;Adidas;Fabio Pisacane;Uno;Sardegna Arena;https://www.cagliaricalcio.com/
Como;Lombardia;Como;Adidas;Cesc Fabregas;Zero;Stadio Giuseppe Sinigallia;https://comofootball.com/
Cremonese;Lombardia;Cremona;Acerbid;Davide Nicola;Sette;Stadio Zini;https://www.uscremonese.it/
Fiorentina;Toscana;Firenze;Kappa;Paolo Vanoli;Due;Artemio Franchi;https://www.acffiorentina.com/it
Genoa;Liguria;Genova;Kappa;Daniele de Rossi;Nove;Stadio Luigi Ferraris;https://genoacfc.it/
Hellas Verona;Veneto;Verona;Joma;Paolo Zanetti;Uno;Stadio Bentegodi;https://www.hellasverona.it/
Internazionale;Lombardia;Milano;Nike;Cristian Chivu;Venti;San Siro;https://www.inter.it/it
Juventus;Piemonte;Torino;Adidas;Luciano Spalletti;Trentotto;Allianz Stadium;https://www.juventus.com/it
Lazio;Lazio;Roma;Macron;Maurizio Sarri;Due;Stadio Olimpico;https://sslazio.it/it/
Lecce;Puglia;Lecce;M908;Eusebio di Francesco;Zero;Stadio Ettore Giardiniero;https://uslecce.it/
Milan;Lombardia;Milano;Puma;Massimiliano Allegri;Diciannove;San Siro;https://www.acmilan.com/it
Napoli;Campania;Napoli;Kappa;Antonio Conte;Quattro;Stadio Diego Armando Maradona;https://www.sscnapoli.it/
Parma;Emilia Romagna;Parma;Puma;Carlos Cuesta;Zero;Stadio Ennio Tardini;https://parmacalcio1913.com/
Pisa;Toscana;Pisa;Adidas;Alberto Gilardino;Zero;Arena Garibaldi;https://pisasportingclub.com/
Roma;Lazio;Roma;Nike;Gian Piero Gasperini;Tre;Stadio Olimpico;https://www.asroma.com/it
Sassuolo;Emilia Romagna;Reggio Emilia;Puma;Fabio Grosso;Zero;Mapei Stadium;https://www.sassuolocalcio.it/
Torino;Piemonte;Torino;Joma;Marco Baroni;Sette;Stadio Olimpico Grande Torino;https://www.torinofc.it/
Udinese;Friuli Venezia Giulia;Udine;Macron;Kosta Runjaic;Zero;Stadio Friuli;https://www.udinese.it/
